No,Tanggal,Harga,Tertinggi,Terendah,Penutupan,Volume,Nilai,Frekuensi
68,5-Sep-23,3.73,3.75,3.71,3.74,62.933.300,235.093.402.000,5.454
69,4-Sep-23,3.72,3.75,3.71,3.73,55.881.900,208.491.168.000,7.392
70,1-Sep-23,3.71,3.74,3.71,3.72,82.253.200,305.853.076.000,8.483
71,31 Agt 2023,3.81,3.82,3.7,3.73,227.635.800,849.376.976.000,16.852
72,30 Agt 2023,3.73,3.85,3.72,3.81,130.027.200,495.319.144.000,15.865
73,29 Agt 2023,3.7,3.72,3.7,3.72,53.453.600,198.416.971.000,8.088
74,28 Agt 2023,3.73,3.74,3.7,3.7,37.727.500,140.121.600.000,8.176
75,25 Agt 2023,3.7,3.73,3.7,3.72,42.049.200,156.112.499.000,8.171
76,24 Agt 2023,3.73,3.77,3.72,3.72,82.789.700,308.939.755.000,10.825
77,23 Agt 2023,3.75,3.77,3.73,3.74,84.842.500,317.990.026.000,9.698
78,22 Agt 2023,3.74,3.78,3.73,3.75,98.059.600,368.662.304.000,7.58
79,21 Agt 2023,3.76,3.78,3.72,3.74,64.449.000,241.537.014.000,10.8
80,18 Agt 2023,3.79,3.8,3.76,3.76,108.780.100,410.658.405.000,10.095
81,16 Agt 2023,3.79,3.83,3.75,3.83,117.021.600,443.292.573.000,13.338
82,15 Agt 2023,3.8,3.83,3.8,3.82,80.015.200,305.010.152.000,7.421
83,14 Agt 2023,3.81,3.83,3.76,3.83,86.871.800,330.754.858.000,8.048
84,11 Agt 2023,3.83,3.84,3.79,3.81,109.714.400,418.242.051.000,9.192
85,10 Agt 2023,3.8,3.83,3.8,3.8,142.784.700,544.387.254.000,11.194
86,09 Agt 2023,3.75,3.8,3.74,3.77,129.416.100,488.446.885.000,13.935
87,08 Agt 2023,3.68,3.76,3.68,3.73,147.407.500,548.951.032.000,10.973
88,07 Agt 2023,3.7,3.72,3.68,3.68,94.909.700,350.728.570.000,13.775
89,04 Agt 2023,3.72,3.73,3.69,3.69,67.746.800,250.851.419.000,13.535
90,03 Agt 2023,3.67,3.76,3.67,3.72,82.013.300,305.796.106.000,10.432
91,02 Agt 2023,3.74,3.74,3.68,3.69,121.333.500,449.142.746.000,19.388
92,01 Agt 2023,3.7,3.78,3.7,3.75,97.680.500,365.756.258.000,14.116
93,31-Jul-23,3.7,3.75,3.67,3.72,153.583.300,571.504.193.000,17.444
94,28-Jul-23,3.71,3.75,3.69,3.72,181.626.700,674.262.677.000,29.338
95,27-Jul-23,3.84,3.86,3.72,3.72,235.026.400,888.897.825.000,45.385
96,26-Jul-23,3.89,3.9,3.83,3.88,86.732.900,334.923.533.000,13.44
97,25-Jul-23,3.92,3.92,3.88,3.88,66.434.400,258.611.164.000,9.8
98,24-Jul-23,3.88,3.93,3.87,3.9,80.710.100,314.771.174.000,10.888
99,21-Jul-23,3.84,3.87,3.84,3.86,53.955.100,207.936.227.000,8.696
100,20-Jul-23,3.82,3.86,3.81,3.85,88.907.600,341.024.732.000,12.452
101,18-Jul-23,3.93,3.93,3.82,3.85,155.407.600,600.707.203.000,30.954
102,17-Jul-23,3.95,3.97,3.91,3.91,81.399.700,319.892.089.000,13.196
103,14-Jul-23,3.96,3.96,3.92,3.93,64.886.900,255.478.581.000,10.26
104,13-Jul-23,3.96,3.97,3.91,3.92,83.009.900,326.726.871.000,16.836
105,12-Jul-23,3.98,4.01,3.97,3.98,73.770.400,294.139.227.000,9.696
106,11-Jul-23,3.95,3.99,3.95,3.98,89.768.500,357.080.957.000,6.81
107,10-Jul-23,3.96,3.98,3.94,3.95,65.643.300,259.389.791.000,11.459
108,7-Jul-23,3.96,3.98,3.95,3.96,50.474.800,199.873.017.000,7.827
109,6-Jul-23,3.97,3.99,3.96,3.96,68.088.900,270.173.430.000,10.77
110,5-Jul-23,3.97,3.98,3.95,3.98,43.303.000,171.722.569.000,8.945
111,4-Jul-23,4,4.01,3.97,3.97,33.974.300,135.429.636.000,7.386
112,3-Jul-23,4.03,4.03,3.97,4,75.193.800,300.916.664.000,9.766
113,27-Jun-23,4.03,4.03,3.99,4,64.890.400,260.410.904.000,10.748
114,26-Jun-23,3.94,3.99,3.94,3.99,36.011.500,143.107.191.000,5.94
115,23-Jun-23,3.94,3.96,3.94,3.95,41.812.400,165.126.198.000,7.595
116,22-Jun-23,3.98,3.99,3.94,3.94,56.150.900,221.959.154.000,13.023
117,21-Jun-23,3.97,3.98,3.95,3.98,60.228.700,238.879.793.000,12.246
118,20-Jun-23,3.98,3.99,3.95,3.99,55.155.600,219.487.466.000,8.671
119,19-Jun-23,3.96,3.99,3.95,3.96,54.934.100,217.990.699.000,15.202
120,16-Jun-23,4.02,4.03,3.96,3.97,160.978.900,640.372.113.000,17.474
121,15-Jun-23,3.99,4.04,3.98,4.02,85.391.800,342.573.950.000,12.974
122,14-Jun-23,4.02,4.04,3.99,4,110.730.800,443.679.377.000,14.809
123,13-Jun-23,4.04,4.06,4.03,4.03,69.609.000,281.319.797.000,18.227
124,12-Jun-23,4.04,4.05,4.01,4.05,94.687.300,382.452.727.000,12.97
125,9-Jun-23,4.17,4.17,4.14,4.15,83.313.600,345.823.290.000,8.494
126,8-Jun-23,4.16,4.18,4.12,4.17,78.989.700,328.447.232.000,9.758
127,7-Jun-23,4.1,4.15,4.08,4.15,99.440.800,409.633.224.000,10.742
128,6-Jun-23,4.09,4.13,4.05,4.09,95.901.900,392.540.701.000,10.191
129,5-Jun-23,4.06,4.13,4.02,4.08,189.129.300,772.983.512.000,16.36
130,31 Mei 2023,4.12,4.16,4.04,4.04,609.343.100,2.467.541.294.000,14.546
131,30 Mei 2023,4.14,4.19,4.12,4.12,97.109.600,402.411.987.000,13.421
132,29 Mei 2023,4.12,4.2,4.09,4.2,77.540.300,320.853.854.000,10.015
133,26 Mei 2023,4.14,4.16,4.11,4.13,62.211.800,256.624.676.000,7.841
134,25 Mei 2023,4.19,4.22,4.12,4.12,106.182.800,441.841.309.000,12.626
135,24 Mei 2023,4.02,4.2,4.02,4.16,177.550.900,734.502.754.000,22.463
136,23 Mei 2023,4.03,4.08,4.03,4.04,102.536.600,415.724.801.000,12.194
137,22 Mei 2023,4,4.08,3.98,4.04,115.693.800,466.624.905.000,14.384
138,19 Mei 2023,3.99,4.06,3.97,4.02,78.462.500,315.923.916.000,10.47
139,17 Mei 2023,3.98,4.02,3.96,3.99,83.283.900,332.346.169.000,11.172
140,16 Mei 2023,4.02,4.02,3.94,3.98,80.225.000,318.930.540.000,12.029
141,15 Mei 2023,3.99,3.99,3.93,3.98,113.329.300,448.754.322.000,14.676
142,12 Mei 2023,4.05,4.05,3.95,3.98,208.201.500,829.681.967.000,25.233
143,11 Mei 2023,4.1,4.12,4.06,4.09,74.174.700,302.834.522.000,11.315
144,10 Mei 2023,4.05,4.13,4.04,4.13,84.464.000,346.405.597.000,10.414
145,09 Mei 2023,4.05,4.09,4.03,4.07,106.375.600,432.031.369.000,13.079
146,08 Mei 2023,4.17,4.18,4.04,4.06,121.002.600,494.081.036.000,18.077
147,05 Mei 2023,4.16,4.17,4.08,4.17,98.880.100,408.240.005.000,11.738
148,04 Mei 2023,4.17,4.19,4.14,4.15,82.589.400,344.275.630.000,9.466
149,03 Mei 2023,4.2,4.2,4.08,4.15,137.237.900,566.261.096.000,12.567
150,02 Mei 2023,4.21,4.22,4.13,4.19,144.759.400,604.392.008.000,20.795
151,28-Apr-23,4.27,4.32,4.22,4.25,112.116.900,476.883.184.000,13.81
152,27-Apr-23,4.45,4.45,4.3,4.32,69.904.200,304.007.577.000,11.899
153,26-Apr-23,4.48,4.5,4.33,4.4,198.984.100,875.697.838.000,18.297
154,18-Apr-23,4.24,4.28,4.23,4.27,65.654.100,280.170.170.000,6.899
155,17-Apr-23,4.34,4.34,4.25,4.27,59.689.800,255.335.010.000,7.961
156,14-Apr-23,4.34,4.36,4.32,4.34,92.879.100,403.150.425.000,6.755
157,13-Apr-23,4.34,4.35,4.29,4.34,149.293.500,646.440.973.000,10.23
158,12-Apr-23,4.32,4.35,4.26,4.31,154.729.200,666.685.594.000,10.972
159,11-Apr-23,4.29,4.3,4.25,4.3,84.322.900,361.546.873.000,13.213
160,10-Apr-23,4.25,4.3,4.19,4.3,67.857.900,287.943.725.000,9.456
161,6-Apr-23,4.2,4.27,4.17,4.25,131.332.200,556.127.483.000,17.62
162,5-Apr-23,4.1,4.17,4.08,4.15,70.840.100,292.880.118.000,14.524
163,4-Apr-23,4.08,4.1,4.04,4.06,65.909.500,267.602.100.000,6.037
164,3-Apr-23,4.1,4.1,4.07,4.08,48.049.100,196.195.876.000,7.389
165,31-Mar-23,4.11,4.12,4.04,4.06,93.749.900,381.104.478.000,7.867
166,30-Mar-23,4.05,4.13,4.04,4.09,87.710.800,357.752.707.000,8.187
167,29-Mar-23,4.09,4.12,4.07,4.1,88.345.200,361.964.303.000,7.711
168,28-Mar-23,4.1,4.1,4.03,4.05,72.490.700,293.897.954.000,6.049
169,27-Mar-23,4.1,4.12,4.03,4.05,71.563.800,290.963.101.000,8.228
170,24-Mar-23,4.1,4.12,4.06,4.07,126.339.800,516.289.845.000,11.609
171,21-Mar-23,4,4.12,4,4.12,65.684.600,268.606.970.000,8.978
172,20-Mar-23,4.05,4.05,3.94,3.99,106.226.400,424.374.125.000,9.513
173,17-Mar-23,4.09,4.1,4.03,4.05,153.263.500,622.960.376.000,10.896
174,16-Mar-23,4.04,4.06,3.98,4.05,79.971.900,322.689.624.000,9.85
175,15-Mar-23,4.05,4.06,3.99,4.01,51.995.000,209.010.331.000,6.888
176,14-Mar-23,4.03,4.09,4,4.02,111.571.600,451.366.236.000,11.612
177,13-Mar-23,4.02,4.09,3.98,4.07,104.663.300,424.256.919.000,11.402
178,10-Mar-23,3.96,4.02,3.93,4.01,77.752.800,310.709.937.000,11.348
179,9-Mar-23,3.97,4,3.96,3.97,68.725.500,273.689.036.000,10.31
180,8-Mar-23,3.85,3.94,3.85,3.94,61.321.500,239.386.017.000,8.45
181,7-Mar-23,3.89,3.91,3.85,3.88,48.550.800,188.218.957.000,8.017
182,6-Mar-23,3.94,3.95,3.87,3.88,50.314.300,196.339.254.000,7.979
183,3-Mar-23,3.88,3.92,3.87,3.9,49.796.000,193.887.184.000,6.732
184,2-Mar-23,3.9,3.93,3.88,3.88,43.295.900,168.524.856.000,8.806
185,1-Mar-23,3.93,3.99,3.91,3.93,47.395.200,187.089.419.000,10.705
186,28-Feb-23,3.93,3.97,3.88,3.88,115.766.900,451.675.494.000,9.8
187,27-Feb-23,3.99,4,3.92,3.96,57.654.200,227.692.105.000,9.565
188,24-Feb-23,4,4.04,3.95,4.04,164.920.600,661.579.613.000,17.436
189,23-Feb-23,3.95,3.97,3.89,3.97,109.836.000,432.796.161.000,15.326
190,22-Feb-23,3.85,3.87,3.8,3.86,57.523.100,220.971.122.000,9.32
191,21-Feb-23,3.85,3.87,3.83,3.84,63.880.300,245.630.146.000,7.411
192,20-Feb-23,3.76,3.82,3.76,3.82,57.447.000,218.109.147.000,10.366
193,17-Feb-23,3.77,3.77,3.72,3.76,42.098.000,157.667.117.000,18.211
194,16-Feb-23,3.8,3.8,3.75,3.77,49.879.600,187.908.764.000,7.993
195,15-Feb-23,3.81,3.82,3.73,3.79,77.025.900,290.172.859.000,13.21
196,14-Feb-23,3.83,3.83,3.76,3.8,67.045.500,254.490.709.000,9.43
197,13-Feb-23,3.8,3.81,3.75,3.79,55.673.600,210.621.994.000,8.637
198,10-Feb-23,3.75,3.8,3.69,3.8,88.759.600,331.913.239.000,19.641
199,9-Feb-23,3.84,3.84,3.76,3.77,78.182.700,296.703.579.000,18.034
200,8-Feb-23,3.8,3.85,3.79,3.84,65.861.100,251.483.993.000,11.462
201,7-Feb-23,3.88,3.88,3.8,3.8,76.254.900,291.609.925.000,15.905
202,6-Feb-23,3.86,3.91,3.85,3.88,58.861.400,227.696.756.000,8.431
203,3-Feb-23,3.91,3.92,3.87,3.88,55.174.900,214.866.487.000,8.654
204,2-Feb-23,3.85,3.9,3.84,3.89,65.400.800,253.358.325.000,9.269
205,1-Feb-23,3.85,3.9,3.84,3.87,71.003.200,274.277.390.000,12.029
206,31-Jan-23,3.94,3.95,3.85,3.85,129.229.000,499.258.559.000,14.05
207,30-Jan-23,3.96,3.97,3.91,3.96,85.280.800,336.253.027.000,7.668
208,27-Jan-23,3.97,3.99,3.95,3.96,85.510.700,339.110.943.000,11.402
209,26-Jan-23,3.85,4,3.85,3.97,117.243.400,463.010.248.000,12.593
210,25-Jan-23,3.85,3.88,3.81,3.84,70.264.300,270.221.896.000,9.316
211,24-Jan-23,3.89,3.91,3.85,3.85,37.497.500,145.170.946.000,8.314
212,20-Jan-23,3.91,3.92,3.85,3.87,76.520.200,296.708.603.000,9.579
213,19-Jan-23,3.9,3.98,3.88,3.89,94.021.600,368.089.629.000,9.967
214,18-Jan-23,4.01,4.01,3.9,3.93,94.774.000,373.038.908.000,11.336
215,17-Jan-23,3.87,3.99,3.86,3.95,132.256.600,522.148.141.000,14.146
216,16-Jan-23,3.78,3.85,3.78,3.85,46.693.300,178.783.198.000,7.295
217,13-Jan-23,3.82,3.86,3.77,3.78,85.817.100,325.634.602.000,11.012
218,12-Jan-23,3.79,3.9,3.78,3.86,93.386.300,359.418.149.000,10.773
219,11-Jan-23,3.82,3.9,3.79,3.87,93.911.500,362.943.421.000,9.925
220,10-Jan-23,3.81,3.85,3.75,3.83,65.259.000,248.500.057.000,8.439
221,9-Jan-23,3.73,3.79,3.73,3.79,46.617.800,175.289.612.000,6.648
222,6-Jan-23,3.75,3.77,3.71,3.71,65.207.400,243.428.606.000,10.707
223,5-Jan-23,3.8,3.82,3.72,3.77,135.167.000,506.851.892.000,11.966
224,4-Jan-23,3.84,3.86,3.81,3.82,56.942.300,218.016.958.000,7.739
225,3-Jan-23,3.79,3.89,3.77,3.86,64.297.400,248.221.930.000,11.232
226,2-Jan-23,3.75,3.8,3.75,3.8,10.522.400,39.687.918.000,4.627
227,30 Des 2022,3.76,3.8,3.75,3.75,79.677.300,300.395.885.000,9.41
228,29 Des 2022,3.72,3.79,3.71,3.78,51.703.500,194.711.799.000,8.794
229,28 Des 2022,3.8,3.81,3.71,3.73,74.363.000,278.744.555.000,10.707
230,27 Des 2022,3.77,3.84,3.75,3.81,52.322.200,199.375.259.000,9.277
231,26 Des 2022,3.78,3.8,3.73,3.75,19.321.700,72.505.782.000,5.217
232,23 Des 2022,3.71,3.78,3.7,3.78,45.179.400,169.106.984.000,6.405
233,22 Des 2022,3.8,3.81,3.74,3.75,58.085.600,218.865.457.000,7.593
234,21 Des 2022,3.69,3.79,3.67,3.79,98.749.700,368.488.915.000,9.329
235,20 Des 2022,3.73,3.75,3.7,3.72,55.575.600,206.687.896.000,7.324
236,19 Des 2022,3.74,3.79,3.68,3.72,104.424.400,389.159.505.000,10.73
237,16 Des 2022,3.61,3.74,3.61,3.68,212.673.200,783.225.382.000,11.218
238,15 Des 2022,3.68,3.72,3.67,3.67,118.155.300,435.293.637.000,11.041
239,14 Des 2022,3.82,3.82,3.74,3.75,107.186.900,405.269.719.000,14.471
240,13 Des 2022,3.69,3.79,3.68,3.75,202.138.600,760.081.634.000,17.428
241,12 Des 2022,3.67,3.71,3.64,3.7,151.153.300,557.433.170.000,15.606
242,09 Des 2022,3.68,3.72,3.63,3.65,146.968.500,539.140.172.000,18.352
243,08 Des 2022,3.7,3.78,3.62,3.74,224.430.000,832.053.173.000,22.063
244,07 Des 2022,3.6,3.7,3.57,3.68,245.920.400,899.714.525.000,23.593
245,06 Des 2022,3.64,3.72,3.58,3.6,416.631.500,1.510.448.536.000,54.592
246,05 Des 2022,3.98,3.99,3.82,3.84,171.687.400,666.420.414.000,39.103
247,02 Des 2022,3.95,4.02,3.93,4,113.759.000,452.963.356.000,14.963
248,01 Des 2022,4.02,4.04,3.96,3.96,202.050.500,806.218.955.000,30.745
249,30-Nov-22,3.97,4.05,3.97,4.04,358.989.500,1.448.170.378.000,15.014
250,29-Nov-22,3.98,4.02,3.98,3.98,80.346.000,320.877.255.000,15.194
251,28-Nov-22,4.03,4.04,3.98,3.98,74.305.800,297.012.528.000,12.074
252,25-Nov-22,4.01,4.04,3.98,4.03,58.170.700,233.043.540.000,11.245
253,24-Nov-22,3.98,4.04,3.98,4.03,62.551.300,251.401.228.000,9.438
254,23-Nov-22,3.99,4.03,3.97,3.97,99.302.300,396.185.264.000,19.656
255,22-Nov-22,4.02,4.04,4,4,83.888.300,336.506.840.000,20.121
256,21-Nov-22,4.02,4.06,4.01,4.03,54.668.700,220.112.279.000,8.21
257,18-Nov-22,4.07,4.08,4.01,4.01,115.963.200,466.758.027.000,14.485
258,17-Nov-22,4.02,4.07,4.02,4.04,68.652.000,277.829.263.000,9.61
259,16-Nov-22,4,4.07,3.96,4.05,149.575.300,603.133.058.000,18
260,15-Nov-22,4.05,4.08,4.03,4.05,76.947.000,311.763.598.000,13.554
261,14-Nov-22,4.09,4.12,4.03,4.05,205.445.400,836.122.503.000,29.333
262,11-Nov-22,4.16,4.18,4.14,4.15,227.799.300,947.303.445.000,13.397
263,10-Nov-22,4.11,4.21,4.11,4.17,68.170.100,284.044.412.000,8.673
264,9-Nov-22,4.2,4.23,4.18,4.19,109.215.700,458.508.971.000,11.923
265,8-Nov-22,4.27,4.28,4.2,4.22,110.577.600,467.667.673.000,9.821
266,7-Nov-22,4.25,4.28,4.16,4.28,105.536.100,446.879.263.000,12.035
267,4-Nov-22,4.07,4.21,4.07,4.21,167.150.400,692.809.676.000,14.349
268,3-Nov-22,4.14,4.17,4.05,4.13,214.866.800,888.088.502.000,21.59
269,2-Nov-22,4.4,4.42,4.22,4.22,187.794.400,805.588.316.000,24.435
270,1-Nov-22,4.42,4.42,4.36,4.42,93.209.100,409.864.553.000,10.836
271,31 Okt 2022,4.46,4.46,4.36,4.39,128.436.900,565.097.691.000,11.97
272,28 Okt 2022,4.42,4.45,4.38,4.45,68.630.200,303.237.330.000,9.147
273,27 Okt 2022,4.39,4.41,4.34,4.37,80.281.900,350.720.763.000,8.258
274,26 Okt 2022,4.42,4.43,4.33,4.37,84.661.900,369.936.183.000,7.2
275,25 Okt 2022,4.43,4.47,4.39,4.39,109.228.600,481.888.797.000,9.179
276,24 Okt 2022,4.38,4.45,4.38,4.41,76.777.200,339.408.384.000,8.036
277,21 Okt 2022,4.3,4.39,4.3,4.36,79.825.700,348.543.608.000,9.249
278,20 Okt 2022,4.2,4.35,4.2,4.35,165.391.500,714.481.636.000,10.692
279,19 Okt 2022,4.22,4.3,4.2,4.2,65.848.300,279.449.720.000,8.684
280,18 Okt 2022,4.31,4.34,4.25,4.25,72.516.000,311.413.244.000,8
281,17 Okt 2022,4.2,4.33,4.2,4.33,90.321.700,386.181.735.000,10.337
282,14 Okt 2022,4.36,4.36,4.29,4.29,68.462.000,295.461.805.000,7.168
283,13 Okt 2022,4.33,4.35,4.29,4.3,70.034.500,302.193.778.000,8.285
284,12 Okt 2022,4.3,4.35,4.28,4.34,107.938.600,466.262.725.000,11.698
285,11 Okt 2022,4.36,4.38,4.31,4.31,108.794.500,470.911.272.000,15.104
286,10 Okt 2022,4.34,4.42,4.33,4.42,72.389.100,316.916.632.000,11.633
287,07 Okt 2022,4.4,4.43,4.35,4.35,102.570.000,449.141.340.000,17.676
288,06 Okt 2022,4.46,4.48,4.42,4.43,60.464.300,268.159.396.000,7.97
289,05 Okt 2022,4.49,4.54,4.46,4.46,61.888.400,278.363.785.000,10.345
290,04 Okt 2022,4.46,4.51,4.43,4.44,87.832.800,392.423.373.000,9.516
291,03 Okt 2022,4.46,4.47,4.38,4.46,77.569.100,344.577.675.000,9.152
292,30-Sep-22,4.4,4.5,4.39,4.46,111.482.000,496.974.630.000,10.415
293,29-Sep-22,4.46,4.5,4.42,4.44,90.290.400,401.553.687.000,7.921
294,28-Sep-22,4.43,4.53,4.4,4.47,104.385.500,468.043.997.000,9.117
295,27-Sep-22,4.45,4.47,4.38,4.44,123.113.800,545.766.021.000,12.288
296,26-Sep-22,4.39,4.51,4.3,4.46,132.185.400,585.242.593.000,13.527
297,23-Sep-22,4.4,4.43,4.38,4.38,95.911.400,421.654.641.000,14.56
298,22-Sep-22,4.4,4.45,4.38,4.43,89.922.900,397.999.293.000,10.715
299,21-Sep-22,4.45,4.47,4.41,4.43,91.363.200,405.334.066.000,9.618
300,20-Sep-22,4.53,4.54,4.48,4.48,100.743.700,453.684.216.000,7.98
301,19-Sep-22,4.46,4.56,4.44,4.5,116.164.500,524.372.312.000,11.213
302,16-Sep-22,4.5,4.5,4.41,4.41,210.277.300,931.426.933.000,18.493
303,15-Sep-22,4.54,4.6,4.5,4.5,125.599.900,571.933.775.000,12.775
304,14-Sep-22,4.49,4.53,4.46,4.48,97.919.200,439.845.966.000,15.378
305,13-Sep-22,4.54,4.56,4.52,4.52,91.510.200,414.745.333.000,11.289
306,12-Sep-22,4.6,4.6,4.53,4.54,74.820.600,340.545.808.000,8.93
307,9-Sep-22,4.55,4.6,4.53,4.6,50.307.800,229.843.686.000,8.267
308,8-Sep-22,4.5,4.64,4.5,4.56,123.389.200,566.519.576.000,10.769
309,7-Sep-22,4.5,4.56,4.48,4.49,93.492.500,422.367.010.000,11.854
310,6-Sep-22,4.61,4.62,4.51,4.51,62.106.700,282.649.554.000,8.563
311,5-Sep-22,4.56,4.63,4.55,4.62,77.323.800,355.556.675.000,7.77
312,2-Sep-22,4.54,4.62,4.54,4.6,90.586.100,415.630.345.000,9.365
313,1-Sep-22,4.56,4.65,4.53,4.58,120.929.500,555.444.052.000,13.01
314,31 Agt 2022,4.42,4.6,4.42,4.56,175.300.400,794.832.029.000,14.305
315,30 Agt 2022,4.58,4.62,4.48,4.48,102.482.500,467.102.002.000,10.318
316,29 Agt 2022,4.37,4.55,4.36,4.52,112.724.400,505.546.331.000,10.458
317,26 Agt 2022,4.51,4.54,4.48,4.49,184.317.100,830.362.943.000,16.983
318,25 Agt 2022,4.68,4.7,4.56,4.57,179.495.700,825.512.437.000,19.746
319,24 Agt 2022,4.66,4.77,4.6,4.75,189.007.900,892.798.793.000,11.482
320,23 Agt 2022,4.68,4.71,4.61,4.66,229.431.400,1.071.742.677.000,14.081
321,22 Agt 2022,4.55,4.66,4.53,4.65,202.320.400,934.041.944.000,10.741
322,19 Agt 2022,4.56,4.61,4.46,4.6,177.623.900,812.559.315.000,10.447
323,18 Agt 2022,4.36,4.55,4.35,4.55,182.044.300,813.359.760.000,15.408
324,16 Agt 2022,4.53,4.58,4.41,4.41,127.710.800,570.866.089.000,9.884
325,15 Agt 2022,4.54,4.57,4.44,4.45,136.882.800,614.442.832.000,15.049
326,12 Agt 2022,4.57,4.6,4.53,4.55,124.628.300,568.302.474.000,8.858
327,11 Agt 2022,4.55,4.61,4.52,4.57,123.629.000,565.471.372.000,12.28
328,10 Agt 2022,4.53,4.59,4.49,4.56,162.061.400,737.186.106.000,14.24
329,09 Agt 2022,4.7,4.7,4.63,4.64,164.453.900,764.235.246.000,13.749
330,08 Agt 2022,4.7,4.7,4.65,4.7,191.023.500,894.555.296.000,15.812
331,05 Agt 2022,4.59,4.65,4.53,4.65,268.967.200,1.243.989.702.000,17.097
332,04 Agt 2022,4.45,4.55,4.45,4.55,159.416.400,720.604.225.000,13.247
333,03 Agt 2022,4.45,4.59,4.41,4.5,252.366.500,1.132.268.104.000,27.046
334,02 Agt 2022,4.35,4.45,4.25,4.45,112.235.100,489.576.767.000,13.684
335,01 Agt 2022,4.23,4.3,4.23,4.3,104.724.300,447.671.621.000,9.428
336,29-Jul-22,4.28,4.3,4.21,4.23,108.823.600,461.213.044.000,10.031
337,28-Jul-22,4.31,4.32,4.19,4.24,110.767.300,470.752.298.000,11.404
338,27-Jul-22,4.23,4.3,4.21,4.3,60.672.300,258.126.292.000,7.035
339,26-Jul-22,4.24,4.25,4.19,4.25,49.786.900,210.451.309.000,6.961
340,25-Jul-22,4.24,4.26,4.22,4.24,37.218.000,157.808.768.000,6.084
341,22-Jul-22,4.24,4.24,4.19,4.23,59.792.300,252.450.009.000,7.592
342,21-Jul-22,4.21,4.26,4.18,4.26,107.234.600,452.934.688.000,8.168
343,20-Jul-22,4.14,4.22,4.14,4.21,82.344.000,345.642.368.000,10.151
344,19-Jul-22,4.19,4.19,4.13,4.16,91.367.900,380.622.487.000,7.929
345,18-Jul-22,4.11,4.19,4.07,4.19,84.009.400,347.083.598.000,10.354
346,15-Jul-22,4.04,4.21,4.01,4.15,146.093.800,604.575.541.000,20.103
347,14-Jul-22,3.94,4.02,3.9,4.02,68.708.500,273.863.231.000,9.668
348,13-Jul-22,4.01,4.03,3.93,3.94,96.218.200,382.021.728.000,13.656
349,12-Jul-22,4.06,4.06,4.01,4.01,43.399.800,174.515.516.000,6.232
350,11-Jul-22,4.1,4.1,4,4.04,42.258.000,170.513.730.000,6.639
351,8-Jul-22,4.05,4.06,4,4.01,64.049.000,257.352.885.000,8.766
352,7-Jul-22,4.04,4.05,4.01,4.04,42.393.800,170.962.971.000,6.469
353,6-Jul-22,4.05,4.05,3.97,4.02,62.679.000,251.474.648.000,8.917
354,5-Jul-22,4.01,4.07,3.95,3.99,72.329.600,290.831.094.000,13.019
355,4-Jul-22,4.02,4.04,3.84,3.99,115.885.200,456.865.572.000,18.376
356,1-Jul-22,4.01,4.04,4,4.02,39.572.500,159.055.543.000,8.597
357,30-Jun-22,4.11,4.11,4,4,116.718.900,471.982.428.000,11.037
358,29-Jun-22,4,4.08,4,4.04,56.878.700,230.023.564.000,7.565
359,28-Jun-22,4.01,4.05,4,4.03,112.506.000,452.106.688.000,12.951
360,27-Jun-22,4.11,4.12,4.04,4.07,71.601.400,291.460.368.000,12.829
361,24-Jun-22,4.23,4.23,4.1,4.15,81.050.700,337.487.451.000,13.847
362,23-Jun-22,4.03,4.16,4.03,4.16,101.065.400,416.191.691.000,14.447
363,22-Jun-22,4.09,4.09,4.04,4.05,60.907.800,247.196.943.000,9.715
364,21-Jun-22,4.06,4.12,4.03,4.11,77.489.000,316.857.669.000,12.016
365,20-Jun-22,4.05,4.06,4,4.04,82.101.200,330.387.624.000,10.956
366,17-Jun-22,4.01,4.12,3.98,4.12,169.375.800,688.930.750.000,15.183
367,16-Jun-22,4.12,4.12,4.03,4.04,96.042.200,390.269.144.000,12.533
368,15-Jun-22,4.06,4.08,4.03,4.06,94.848.800,384.737.399.000,11.561
369,14-Jun-22,4.05,4.12,4.02,4.11,117.325.600,479.325.155.000,14.705
370,13-Jun-22,3.95,4.1,3.93,4.08,156.054.900,627.695.497.000,19.709
371,10-Jun-22,4.04,4.08,4,4.02,189.186.700,762.572.383.000,20.39
372,9-Jun-22,4.08,4.13,4.05,4.05,148.580.200,604.690.493.000,30.44
373,8-Jun-22,4.15,4.17,4.08,4.1,202.555.900,832.671.105.000,34.769
374,7-Jun-22,4.34,4.34,4.25,4.25,142.504.000,609.552.616.000,14.995
375,6-Jun-22,4.31,4.34,4.27,4.34,79.319.400,341.002.816.000,9.985
376,3-Jun-22,4.31,4.39,4.3,4.31,108.852.800,473.237.857.000,13.281
377,2-Jun-22,4.39,4.39,4.27,4.29,164.481.100,710.641.316.000,18.558
378,31 Mei 2022,4.27,4.33,4.23,4.31,469.620.300,2.020.330.147.000,13.984
379,30 Mei 2022,4.34,4.34,4.2,4.25,107.614.100,456.600.586.000,15.718
380,27 Mei 2022,4.26,4.3,4.21,4.3,186.513.500,796.520.814.000,16.738
381,25 Mei 2022,4.2,4.21,4.15,4.2,166.595.400,697.427.375.000,15.565
382,24 Mei 2022,4.12,4.2,4.12,4.15,151.693.700,629.634.862.000,12.657
383,23 Mei 2022,4.16,4.18,4.07,4.11,196.569.900,810.176.210.000,24.963
