No,Tanggal,Harga,Tertinggi,Terendah,Penutupan,Volume,Nilai,Frekuensi
798,4-Sep-20,0,2.89,2.84,2.86,143.569.100,410.859.591.000,20.737
799,3-Sep-20,0,2.96,2.88,2.9,123.106.100,357.853.068.000,18.989
800,2-Sep-20,0,2.97,2.9,2.95,107.589.800,316.326.654.000,13.904
801,1-Sep-20,0,2.91,2.86,2.9,90.565.400,261.891.301.000,16.784
802,31 Agt 2020,0,2.98,2.86,2.86,204.261.100,592.975.870.000,36.999
803,28 Agt 2020,0,2.99,2.94,2.96,160.569.500,474.978.545.000,28.273
804,27 Agt 2020,0,3.04,2.97,2.99,102.787.800,307.411.134.000,17.599
805,26 Agt 2020,0,3.05,2.98,3.02,122.465.300,370.155.454.000,16.287
806,25 Agt 2020,0,3.01,2.98,2.98,100.013.600,299.343.641.000,14.902
807,24 Agt 2020,0,3.02,2.99,3,76.713.900,230.385.811.000,13.282
808,19 Agt 2020,0,3.05,3,3,103.980.600,313.550.662.000,14.413
809,18 Agt 2020,0,3.06,3,3.05,139.358.500,424.050.147.000,14.849
810,14 Agt 2020,0,3.04,3,3.03,93.007.500,281.140.048.000,12.215
811,13 Agt 2020,0,3.02,2.95,3.01,160.906.600,482.278.199.000,18.27
812,12 Agt 2020,0,2.96,2.92,2.95,110.934.800,327.065.869.000,18.09
813,11 Agt 2020,0,3,2.93,2.93,175.693.000,517.639.688.000,31.436
814,10 Agt 2020,0,3.02,2.97,2.97,65.485.400,195.690.095.000,14.28
815,07 Agt 2020,0,3.03,2.97,2.98,78.347.200,234.185.893.000,15.884
816,06 Agt 2020,0,3.05,3,3.02,71.699.000,216.487.367.000,14.037
817,05 Agt 2020,0,3.04,2.92,3.02,120.719.100,361.365.300.000,16.996
818,04 Agt 2020,0,2.97,2.92,2.95,96.018.000,282.968.271.000,15.845
819,03 Agt 2020,0,3.06,2.85,2.92,255.659.800,748.551.564.000,43.883
820,30-Jul-20,0,3.05,3,3.05,95.785.000,290.441.720.000,11.898
821,29-Jul-20,0,3.05,3,3,114.352.000,344.924.322.000,19.378
822,28-Jul-20,0,3.05,3.01,3.02,102.705.300,310.251.724.000,15.883
823,27-Jul-20,0,3.05,3.02,3.04,58.708.800,178.311.150.000,8.862
824,24-Jul-20,0,3.08,3.02,3.02,137.265.100,416.780.561.000,28.087
825,23-Jul-20,0,3.09,3.06,3.07,70.482.100,216.912.852.000,9.908
826,22-Jul-20,0,3.09,3.06,3.07,69.462.100,213.537.350.000,10.683
827,21-Jul-20,0,3.11,3.05,3.06,101.283.800,312.293.261.000,11.347
828,20-Jul-20,0,3.08,3.04,3.06,64.735.500,198.083.137.000,11.923
829,17-Jul-20,0,3.11,3.06,3.06,112.416.300,346.262.492.000,15.099
830,16-Jul-20,0,3.11,3.08,3.1,91.951.000,284.639.665.000,8.035
831,15-Jul-20,0,3.13,3.08,3.09,102.304.100,317.134.215.000,10.843
832,14-Jul-20,0,3.11,3.07,3.08,111.442.600,343.796.958.000,15.856
833,13-Jul-20,0,3.13,3.08,3.09,77.733.900,240.669.857.000,12.387
834,10-Jul-20,0,3.13,3.1,3.11,95.422.400,296.644.406.000,11.288
835,9-Jul-20,0,3.19,3.11,3.11,125.940.800,397.574.185.000,16.578
836,8-Jul-20,0,3.16,3.11,3.15,158.166.300,496.348.288.000,16.212
837,7-Jul-20,0,3.12,3.05,3.12,169.104.200,523.070.018.000,16.849
838,6-Jul-20,0,3.15,3.04,3.05,248.572.600,766.950.510.000,30.527
839,3-Jul-20,0,3.18,3.11,3.12,102.033.100,320.326.280.000,14.481
840,2-Jul-20,0,3.14,3.04,3.14,178.357.900,555.039.877.000,17.5
841,1-Jul-20,0,3.1,3.01,3.04,148.037.400,449.496.262.000,22.228
842,30-Jun-20,0,3.1,3.05,3.05,258.068.400,791.675.287.000,41.19
843,29-Jun-20,0,3.25,3.16,3.18,156.613.200,498.271.222.000,17.27
844,26-Jun-20,0,3.22,3.18,3.19,100.784.500,322.195.677.000,11.745
845,25-Jun-20,0,3.22,3.14,3.16,100.882.600,320.127.357.000,16.546
846,24-Jun-20,0,3.23,3.14,3.18,170.895.600,543.986.790.000,18.707
847,23-Jun-20,0,3.2,3.12,3.13,167.271.000,526.514.903.000,21.724
848,22-Jun-20,0,3.3,3.18,3.2,159.776.500,514.052.364.000,23.185
849,19-Jun-20,0,3.34,3.25,3.28,227.358.800,746.665.645.000,18.976
850,18-Jun-20,0,3.35,3.18,3.28,235.586.600,777.660.743.000,31.221
851,17-Jun-20,0,3.23,3.14,3.21,177.784.900,566.920.510.000,15.942
852,16-Jun-20,0,3.22,3.13,3.2,194.424.800,619.147.621.000,24.246
853,15-Jun-20,0,3.15,3.03,3.09,241.625.700,749.803.833.000,30.777
854,12-Jun-20,0,3.08,2.97,3.03,260.087.300,787.473.296.000,29.218
855,11-Jun-20,0,3.15,3.06,3.08,175.767.800,543.394.787.000,21.348
856,10-Jun-20,0,3.19,3.1,3.11,263.483.700,826.608.898.000,28.58
857,9-Jun-20,0,3.27,3.14,3.14,171.214.500,550.556.142.000,21.4
858,8-Jun-20,0,3.29,3.22,3.23,221.641.600,719.540.159.000,25.358
859,5-Jun-20,0,3.36,3.2,3.23,188.420.700,611.474.693.000,22.255
860,4-Jun-20,0,3.39,3.25,3.3,167.708.600,558.275.806.000,21.874
861,3-Jun-20,0,3.32,3.23,3.29,216.200.900,708.318.985.000,21.783
862,2-Jun-20,0,3.27,3.12,3.25,174.790.600,563.584.260.000,23.247
863,29 Mei 2020,0,3.15,3.08,3.15,276.092.100,864.677.700.000,24.416
864,28 Mei 2020,0,3.21,3.13,3.13,177.385.100,561.051.551.000,21.569
865,27 Mei 2020,0,3.27,3.15,3.17,128.693.900,408.384.151.000,21.539
866,26 Mei 2020,0,3.28,3.13,3.25,105.792.900,341.097.556.000,13.131
867,20 Mei 2020,0,3.26,3.18,3.18,76.086.600,243.427.055.000,11.165
868,19 Mei 2020,0,3.33,3.25,3.27,97.387.100,319.850.407.000,13.092
869,18 Mei 2020,0,3.22,3.1,3.22,108.828.800,346.753.477.000,12.04
870,15 Mei 2020,0,3.13,3.02,3.1,114.753.900,353.510.729.000,11.786
871,14 Mei 2020,0,3.14,3.06,3.07,101.581.300,314.038.586.000,14.169
872,13 Mei 2020,0,3.17,3.08,3.16,73.238.700,229.334.259.000,10.007
873,12 Mei 2020,0,3.27,3.1,3.15,138.978.700,439.031.596.000,20.689
874,11 Mei 2020,0,3.25,3.21,3.22,58.473.100,188.957.404.000,7.332
875,08 Mei 2020,0,3.29,3.15,3.19,143.584.400,458.325.791.000,16.618
876,06 Mei 2020,0,3.34,3.22,3.24,86.395.000,280.374.998.000,14.978
877,05 Mei 2020,0,3.39,3.32,3.32,74.036.700,246.814.961.000,7.441
878,04 Mei 2020,0,3.4,3.26,3.32,108.988.600,361.652.402.000,14.578
879,30-Apr-20,0,3.54,3.35,3.5,163.170.100,566.208.243.000,16.154
880,29-Apr-20,0,3.39,3.1,3.35,154.902.100,511.268.571.000,17.025
881,28-Apr-20,0,3.2,3.14,3.16,80.212.700,253.991.595.000,10.856
882,27-Apr-20,0,3.2,3.1,3.15,85.475.400,270.126.668.000,10.34
883,24-Apr-20,0,3.16,3.08,3.09,84.061.400,261.770.510.000,9.232
884,23-Apr-20,0,3.24,3.07,3.07,117.391.500,371.158.013.000,12.527
885,22-Apr-20,0,3.27,3.03,3.16,126.278.300,401.228.198.000,13.077
886,21-Apr-20,0,3.13,3.05,3.07,43.239.400,133.172.992.000,8.636
887,20-Apr-20,0,3.27,3.12,3.12,77.306.900,245.010.507.000,9.493
888,17-Apr-20,0,3.25,3.05,3.23,127.860.400,408.541.183.000,13.703
889,16-Apr-20,0,3.11,3,3,109.582.500,331.484.452.000,12.994
890,15-Apr-20,0,3.3,3.09,3.11,69.832.000,220.251.822.000,12.52
891,14-Apr-20,0,3.25,3.16,3.24,79.114.600,253.851.692.000,8.889
892,13-Apr-20,0,3.23,3.13,3.18,45.469.500,144.827.577.000,8.075
